album,title,artists,composers,time,date
Mala,Won't You Come Home,Devendra Banhart,Devendra Banhart,11:18pm,2017-02-24
Mirror Maze,Mirror Maze,Merganzer,Mika Posen,11:22pm,2017-02-24
Indigo,I'm A Stone,River Tiber,River Tiber,11:28pm,2017-02-24
A Heart Beats Through It (Single),A Heart Beats Through It,Our Founders,Michael Olsen,11:31pm,2017-02-24
Horizontal Lines,Faraway Car Ride,Twin Within,"Alex Samaras, Steve Mckay",11:37pm,2017-02-24
Karkwa: Les Chemins De Verre,Les Enfants De Beyrouth,Karkwa,Jean  Louis Cormier,11:42pm,2017-02-24
Beast To Bone,Jealous Guy,The Sands,John Lennon,11:45pm,2017-02-24
Father John Misty: Pure Comedy,Pure Comedy,Father John Misty,Father John Misty,11:51pm,2017-02-24
Won,Delft,Fresh Snow,"Brad Davis, Tim Condon, Jon Maki, Andy Lloyd",11:58pm,2017-02-24
The Best Of Nat King Cole Trio,(Get Your Kicks On) Route 66,Nat King Cole,Oscar Moore,10:01pm,2017-02-25
35 Years Stony Plain,Moten Swing,"Jay Mcshann, Duke Robillard","Buster Moten, Bennie Moten",10:04pm,2017-02-25
Cyrille Aimee: It's A Good Day,Where Or When,Cyrille Aimee,"Richard Rodgers, Lorenz Hart",10:09pm,2017-02-25
Nota Bene,Georgia On My Mind (Ray Charles),P.J. Perry,John Sumner,10:12pm,2017-02-25
Coleman Hawkins / Ben Webster,You'd Be So Nice To Come Home To,"Coleman Hawkins, Ben Webster",Herb Ellis,10:18pm,2017-02-25
Oscar Peterson: Plays The Jerome Kern Songbook,The Way You Look Tonight,Oscar Peterson,"Jerome Kern, Dorothy Fields,Thalia",10:23pm,2017-02-25
Terra Halezton: Gimme Whatcha Got,Coffee In The Morning (And Kisses In The Night),Terra Hazelton,"Harry Warren, Alexander Dubin",10:27pm,2017-02-25
Space Cowboys   Film,The Best Is Yet To Come,Joshua Redman,"Cy Coleman, Carolyn Leigh, Andres Castro, Edgar Barrera",10:31pm,2017-02-25
Louis Armstrong And His Friends,What A Wonderful World,Louis Armstrong,"George David Weiss, Bob Thiele",10:36pm,2017-02-25
Julian Cannonball Adderley: Some,One For Daddy-O,Cannonball Adderley,Sam Jones,10:40pm,2017-02-25
Stealing Genius,Vie En Rose,Amy Mcconnell,"Edith Piaf, Mack David, R. S Louiguy",10:48pm,2017-02-25
Test Of Time,"Bewitched, Bothered And Bewildered","Mike Murley, Ed Bickert, Steve Wallace","John O'hara, Lorenz Hart, Richard Rodgers",10:53pm,2017-02-25
Swim Against The Tide,Swim Against The Tide,The Japanese House,Amber Bain,11:04pm,2017-02-25
Migrations,Migrations,Tend&See,"Faye Mallett, Melissa Bandura",11:07pm,2017-02-25
The Sea (Single),The Sea,Ary,Ary,11:11pm,2017-02-25
Rennen,Signal,Sohn,Sohn,11:14pm,2017-02-25
99 Cents,Chasing Shadows,Santigold,"Santigold, Rostam Batmanglij",11:19pm,2017-02-25
Once Around The Town Square (Single),Once Around The Town Square,Photo Ops,Terry Price,11:22pm,2017-02-25
Reminisce,Island,Etiquette,"Julie Fader, Graham Walsh",11:31pm,2017-02-25
Up In Hudson (Single),Up In Hudson,Dirty Projectors,"Mccoll Ewan, David Ginyard, Tyondai Braxton, David Longstreth",11:37pm,2017-02-25
Home Wrecking Years,Keystone Dealers,Brendan Canning,Brendan Canning,11:45pm,2017-02-25
The Hawk,Better Off Alone,Senior Citizen,Senior Citizen,11:50pm,2017-02-25
Club Meds,Forgetery,Dan Mangan + Blacksmith,Dan Mangan,11:53pm,2017-02-25
Black Matter,Turn Up The Volumes,Thus Owls,"Erika Angell, Simon Angell",11:57pm,2017-02-25
Common Deer I,Damages,Common Deer,"Liam Farrell, Sheila Hart, Connor Farrell, Graham Mclaughlin, Adam Hart",12:02am,2017-02-25
I Go Missing In My Sleep,Garden,Wilsen,Wilsen,10:03pm,2017-02-27
Falling Through,Fortress,Mune,"Eytan Tobin, Stephen Cooper, Brandon Johns, Greg O'toole, Felix Mills, Amanda Barroso",10:07pm,2017-02-27
Geoffroy: Sleeping On My Own,Sleeping On My Own,Geoffroy,"Geoffroy Sauve,Antoine  Max Gendron",10:12pm,2017-02-27
Javelin,Baby Moses,Jordan Klassen,Jordan Klassen,10:15pm,2017-02-27
Now That The Light Is Fading,On + Off,Maggie Rogers,"Nicholas Das, Maggie Rogers",10:19pm,2017-02-27
Flotus,Flotus,Lambchop,Kurt Wagner,10:23pm,2017-02-27
"22, A Million",8(Circle),Bon Iver,"Michael Lewis, Ryan Olson, Bj Burton, Justin Vernon",10:27pm,2017-02-27
The Wolf (Single),The Wolf,Chersea,Chersea,10:32pm,2017-02-27
Underwaterfall (Single),Underwaterfall,Bearcubs,Bearcubs,10:37pm,2017-02-27
Above Club,Take Your Picture With Me While You Still Can,We Are The City,"Andrew Huculiak, Cayne Mckenzie, David Menzel",10:41pm,2017-02-27
Talk To Strangers,Dial D For Denial,Fiona Bevan,Fiona Bevan,10:46pm,2017-02-27
Are You Alone?,If You're Lonely,Majical Cloudz,"Devon Welsh, Matthew Otto",10:49pm,2017-02-27
Brasstronaut,Sooner Or Later,Brasstronaut,"John Walsh, Brennan Saul, Edo Van Breemen, Bryan Davies, Sam Davidson, Tariq Hussain",10:54pm,2017-02-27
Why Is It (Single),Why Is It,"Mome, Merryn Jeann","Merryn Jeann,Mome",10:58pm,2017-02-27
Leaves: The Colour Of Falling,The Colour Not Of Love,Efterklang,"Casper Clausen, Mads Christian Brauer, Karsten Fundal, Rasmus Stolberg",11:01pm,2017-02-27
Chasses-Croises Ep,Comme La Mer,Bronswick,"Bertrand Pouyet, Catherine Coutu",11:05pm,2017-02-27
No Heavy Loads (Single),No Heavy Loads,Cast,"Jessica Leger, Ben Brown",11:08pm,2017-02-27
Lanterns,Plan The Escape,Son Lux,Son Lux,11:14pm,2017-02-27
Holy (Single),Holy,"Ryan Hemsworth, Ryan Playground, Swim Good Now","Ryan Hemsworth,Swim Good Now,Ryan Playground",11:20pm,2017-02-27
Pull My Hair Back,Strange Emotion,Jessy Lanza,"Jessy Lanza, Jeremy Greenspan",11:24pm,2017-02-27
Depression Cherry,Levitation,Beach House,"Victoria Legrand, Alex Scally",11:29pm,2017-02-27
Notes,The Leftovers,Johan Agebjorn,Johan Agebjorn,11:35pm,2017-02-27
One Wild Life: Soul,Moon Song,Gungor,"Lisa Gungor, Michael Gungor",11:40pm,2017-02-27
A Quiet Evening At Home,The Birds Of Lanark County,Nick Buzz,"Jonathan Goldsmith, Martin Tielli, Hugh Marsh, Rob Piltch",11:52pm,2017-02-27
Flesh And Machine,Tamboura Jah,Daniel Lanois,Daniel Lanois,11:56pm,2017-02-27
Love Is Blind (Single),Love Is Blind,Lapsley,Lapsley,10:00pm,2017-02-28
Love Songs For Robots,Places You Will Go,Patrick Watson,Patrick Watson,10:04pm,2017-02-28
Strip,Slowdisco,Dear Criminals,"Frannie Holder, Charles Lavoie, Vincent Legault",10:09pm,2017-02-28
#88 (Single),#88,Fang Lo,Fang Lo,10:15pm,2017-02-28
Foreign Life,Little Life,Pony Girl,"Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche",10:21pm,2017-02-28
Small & Perfect (Single),Small & Perfect,Isis Giraldo,Isis Giraldo,10:26pm,2017-02-28
Idols In The Dark Heart,Amsterdam,Valery Gore,Valery Gore,10:28pm,2017-02-28
Ask Me This,Into Pieces,Alcoholic Faith Mission,"Thorben Jensen, Sune Solund, Morten Hyldahl, Anders Hjort, Gustav Rasmussen, Kristine Permild",10:33pm,2017-02-28
Love To Give,Sanctus,Halls,Halls,10:38pm,2017-02-28
When The Time Is Right,Waves,River Tiber,"Kwikfiks,River Tiber",10:43pm,2017-02-28
Cascades (Single),Cascades,Metric,"Jimmy Shaw, Emily Haines",10:48pm,2017-02-28
Ocean Death,Fade White,Baths,Baths,10:53pm,2017-02-28
Lonely Ghost,Silica,Artisan Loyalist,Artisan Loyalist,10:58pm,2017-02-28
Intro (Sorry) (Single),Intro (Sorry),Saint Saviour,Saint Saviour,11:03pm,2017-02-28
Bones + Longing,Joy,Gemma Hayes,Gemma Hayes,11:09pm,2017-02-28
Caveman,In The City,Caveman,"Sam Hopkins, Matthew Iwanusa, Stefan Marolachakis, James Carbonetti, Jeff Berrall",11:13pm,2017-02-28
Supermoon - Ep,We Fell,S. Carey,S. Carey,11:17pm,2017-02-28
White Morning (Single),White Morning,Seoul,"Julian Flavin, Nigel Ward, Dexter Garcia, Blouin Artifino, Ryan White",11:21pm,2017-02-28
Deep Running (Single),Deep Running,Braids,"Raphaelle Preston Standell, Taylor Smith, Austin Tufts",11:25pm,2017-02-28
The Air Conditioned Nightmare,Video Hostage,Doldrums,Airick Woodhead,11:31pm,2017-02-28
Ghosts Of Jazz,Believe With Your Eyes,Skim Milk,Skim Milk,11:37pm,2017-02-28
Twin Solitude,Rest,Leif Vollebekk,Leif Vollebekk,11:41pm,2017-02-28
Ritual Tradition Habit,Bruises To Ash,The Belle Game,"Rob Chursinoff, Andrea Lo, Katrina Jones, Alex Andrew, Adam Nanji",11:49pm,2017-02-28
This Cold Escape,Out The Window,Amos The Transparent,"Chris Wilson, James Nicol, Mike Yates, Dan Hay, Olenka Reshitnyk, Jonathan Chandler",11:54pm,2017-02-28
Fontarabie,Serpentine,Fontarabie,Julien Mineau,11:57pm,2017-02-28
"22, A Million","33 ""God""",Bon Iver,Justin Vernon,10:04pm,2017-03-01
Sonderlust,"Can't Let Go, Juno",Kishi Bashi,Kishi Bashi,10:07pm,2017-03-01
Oczy Mlody,The Castle,The Flaming Lips,"Michael Ivins, Wayne Coyne, Jake Ingalls, Derek Brown, Steven Drozd",10:12pm,2017-03-01
The Spoils (Single),The Spoils,"Massive Attack, Hope Sandoval",Robert Del Naja,10:17pm,2017-03-01
No Plan,No Plan,David Bowie,David Bowie,10:24pm,2017-03-01
Fill Your Brains,Fill Your Brains,Harrison Brome,Harrison Brome,10:27pm,2017-03-01
Higher (Single),Higher,Alejandra Ribera,Alejandra Ribera,10:31pm,2017-03-01
Upsweep,Iodine (Amelia),Hannah Epperson,"Ajay Bhattacharyya, Hannah Epperson",10:34pm,2017-03-01
Fyfya Woto,To Li,Jojo Abot,Jojo Abot,10:40pm,2017-03-01
Home Wrecking Years,Keystone Dealers,Brendan Canning,Brendan Canning,10:43pm,2017-03-01
A Moon Shaped Pool,Desert Island Disk,Radiohead,"Jonny Greenwood, Colin Greenwood, Ed O'brien, Phil Selway, Thom Yorke",10:49pm,2017-03-01
A Way (Single),A Way,Best Fern,"Alexia Avina, Nick Schofield",10:53pm,2017-03-01
Give Up,We Will Become Silhouettes,The Postal Service,"Benjamin Gibbard, Jimmy Tamborello",10:55pm,2017-03-01
Falsework,Must Be Love,Young Galaxy,"Dan Lissvik, Stephen Ramsay, Catherine Mccandless",11:00pm,2017-03-01
Amnesty,Ornament,Crystal Castles,Ethan Kath,11:06pm,2017-03-01
Soaked In Gold Ep,Soaked In Gold,Geoffroy,Geoffroy,11:10pm,2017-03-01
Museum With No Walls,Photograph,Blood And Glass,Lisa Moore Iwanycki,11:13pm,2017-03-01
"Performing Parades, Live",Polygyne,"Efterklang, Danish National Chamber Orchestra","Mads Brauer, Rasmus Stolberg, Rune Fonseca Molgaard, Casper Clausen, Thomas Kirirath Husmer",11:18pm,2017-03-01
Paeans (Single),Paeans,Idyll,"Benjamin Gustaffson, Joseph Vitterito",11:26pm,2017-03-01
The North Borders,Sapphire,Bonobo,Bonobo,11:31pm,2017-03-01
Courting The Squall,Courting The Squall,Guy Garvey,Guy Garvey,11:37pm,2017-03-01
Anchor,Your Time,Zammuto,Nick Zammuto,11:41pm,2017-03-01
The Ridge,The Glow,Sarah Neufeld,Sarah Neufeld,11:45pm,2017-03-01
Anthropology,Albert Johnson,Paul Bergman,Paul Bergman,11:49pm,2017-03-01
Dance Music: Songs For Slow Motion,The Smallest Human,Joshua Van Tassel,Joshua Van Tassel,11:56pm,2017-03-01
Knife In The Water (Single),Knife In The Water,Memoryhouse,"Evan Abeele, Denise Nouvion",10:04pm,2017-03-02
Sleep (Single),Sleep,Tom The Lion,Tom The Lion,10:07pm,2017-03-02
Play It On My Radio (Single),Play It On My Radio,Niki & The Dove,"Malin Dahlstrom, Magnus Boqvist, Gustaf Karlof",10:13pm,2017-03-02
Phase,The Love You're Given (Radio Edit),Jack Garratt,"Lisa Fisher, Jack Garratt, Tom Hammer",10:17pm,2017-03-02
Better Than Me (Single),Better Than Me,Blood Orange,Blood Orange,10:21pm,2017-03-02
Musicbx (Single),Musicbx,Moody Good,Moody Good,10:25pm,2017-03-02
"Gentlewoman, Ruby Man",Suzanne,"Flo Morrissey, Matthew E. White","Leonard Cohen, Gilbert Langevin",10:28pm,2017-03-02
Taste,Pumpkin,Islands,Nick Thorburn,10:33pm,2017-03-02
Follow Your Stupid Heart (Single),Follow Your Stupid Heart,Blocktreat,Blocktreat,10:37pm,2017-03-02
And I'll Scratch Yours,Don't Give Up,"Feist, Timber Timbre",Peter Gabriel,10:41pm,2017-03-02
Psychic Materials,This War Is More Than Us,Casey Mecija,Casey Mecija,10:48pm,2017-03-02
Monster,Morning Light,Andrew Judah,Andrew Judah,10:52pm,2017-03-02
Up In Hudson (Single),Up In Hudson,Dirty Projectors,"Mccoll Ewan, David Ginyard, Tyondai Braxton, David Longstreth",10:57pm,2017-03-02
The Road To Nowhere (Single),The Road To Nowhere,Radical Face,Ben Cooper,11:04pm,2017-03-02
Lost (Single),Lost,Liza Anne,Liza Anne,11:09pm,2017-03-02
Tremors,The Wheel,Sohn,Sohn,11:13pm,2017-03-02
Oczy Mlody,Sunrise (Eyes Of The Young),The Flaming Lips,"Michael Ivins, Wayne Coyne, Jake Ingalls, Derek Brown, Steven Drozd",11:18pm,2017-03-02
Calls (Single),Calls,"Robert Glasper Experiment, Jill Scott",Robert Glasper,11:22pm,2017-03-02
Morning Phase,Blue Moon,Beck,Beck,11:28pm,2017-03-02
Yann Perreau: Le Fantastique Des Astres,Mon Amour Est Un Loup,Yann Perreau,"Tante Blanche, Yann Perreau",11:32pm,2017-03-02
Home Forever,Home Forever,Ajungi,Thor,11:36pm,2017-03-02
The Night (Single),The Night,Will Driving West,Daniel Ratte,11:40pm,2017-03-02
Russian Dolls,Russian Doll,Mark Berube,Mark Berube,11:44pm,2017-03-02
Another Eternity,Stillness In Woe,Purity Ring,"Corin Roddick, Megan James",11:47pm,2017-03-02
Armour,Trying Again At Everything,Rae Spoon,Rae Spoon,11:51pm,2017-03-02
Deadmau5: While(1<2),Creep,Deadmau5,Deadmau5,11:54pm,2017-03-02
I Go Missing In My Sleep,Garden,Wilsen,Wilsen,10:00pm,2017-03-03
Oczy Mlody,The Castle,The Flaming Lips,"Michael Ivins, Wayne Coyne, Jake Ingalls, Derek Brown, Steven Drozd",10:03pm,2017-03-03
Arc,The Peaks,Everything Everything,"Jonathan Higgs, Alex Robertshaw, Michael Spearman, Jeremy Pritchard",10:08pm,2017-03-03
Clean Ep,Letter By The Water,The Japanese House,The Japanese House,10:15pm,2017-03-03
The Greatest Animal (Single),The Greatest Animal,Whitaker,"Jono Steer, Ryan Meeking",10:18pm,2017-03-03
Horizontal Lines,Tunnel To The Reservoir,Twin Within,"Alex Samaras, Steve Mckay",10:24pm,2017-03-03
Trauma,Great Escape,Coeur De Pirate,Patrick Watson,10:27pm,2017-03-03
We Loved Her Dearly,Palm Trees,Lowell,"Lowell, James Bryan",10:31pm,2017-03-03
The Golden Lion Ep,In The Forest,The Besnard Lakes,"Jace Lasek, Olga Goreas, Sheena Ko, Kevin Laing, Robbie Macarthur",10:35pm,2017-03-03
The Gentle Ep,"The Blur, The Line And The Thickest Of Onions",Little Comets,"Matthew Hall, Michael Coles, Robert Coles",10:42pm,2017-03-03
Club Meds,Club Meds,Dan Mangan + Blacksmith,Dan Mangan,10:45pm,2017-03-03
Human Voicing,Dream Of Love,The Luyas,"Jessie Stein, Sarah Neufeld, Pietro Amato, Mathieu Charbonneau, Bucky Wheaton",10:49pm,2017-03-03
He's A Baron (Single),He's A Baron,Finalboss,"Ben Gunning, Christine Bougie, Joel Stouffer",10:54pm,2017-03-03
Stretch Your Eyes (Single),Stretch Your Eyes,Agnes Obel,Agnes Obel,10:58pm,2017-03-03
Forward Music Group 2015 Sampler,Go On,Paper Beat Scissors,"Tim Crabtree, Michael Feuerstack",11:03pm,2017-03-03
Multi-Love (Single),Multi-Love,Unknown Mortal Orchestra,Ruban Nielson,11:06pm,2017-03-03
The Take Off And Landing Of Everything,My Sad Captains,Elbow,"Guy Garvey, Richard Jupp, Mark Potter, Pete Turner, Craig Potter",11:10pm,2017-03-03
The Colour In Anything,I Need A Forest Fire,"James Blake, Bon Iver","James Blake, Justin Vernon",11:17pm,2017-03-03
This Is All Yours,"Bloodflood, Pt. Ii",J Alt,"Joe Newman, Thom Green, Gus Hamilton Unger",11:20pm,2017-03-03
Don't Wanna Be European (Single),Don't Wanna Be European,Bernice,Robin Dann,11:26pm,2017-03-03
Break Apart (Single),Break Apart,"Bonobo, Rhye","Rhye,Bonobo",11:30pm,2017-03-03
Pierre Kwenders: Popolipo (The Remixes)  Ep,Popolipo (Feat. Sjamsoedin),"Pierre Kwenders, Sjamsoedin","Pierre Kwenders,Samito",11:35pm,2017-03-03
"Alone, Not Alone",Figures Of A New Colour,Montag,Antoine Bedard,11:42pm,2017-03-03
Hotel Morphee: Des Histoires De Fantomes,Dessine-Moi,Hotel Morphee,"Hotel Morphee, Laurence Nerbonne",11:46pm,2017-03-03
"You, Me & Gravity: The Music Of Planet Coaster",And So We See The Truth And The Beauty,"Jim Guthrie, J.J. Ipsen","J.J. Ipsen, Jim Guthrie",11:50pm,2017-03-03
Hey Love,Five Seasons,Hayden,Hayden,11:55pm,2017-03-03
Kid Koala: Space Cadet,Speed Of Light,Kid Koala,Kid Koala,11:58pm,2017-03-03
Night Swimming,Cake Walk,Gypsophilia,Matt Myer,10:01pm,2017-03-04
Artistry Of Freddie Hubbard / The Body And The Soul,Happy Times,Freddie Hubbard,Freddie Hubbard,10:04pm,2017-03-04
In My Wildest Dreams,Carousel,"Mae Silver Anna, Liane Carroll","Rachel Sutton,Mae  Anna Silver",10:09pm,2017-03-04
Dave Digs Disney,When You Wish Upon A Star,Dave Brubeck,"Jean Cis, Leigh Harline, Ned Washington",10:12pm,2017-03-04
Slow Burn,My Foolish Heart,Russ Little,"Victor Young, Ned Washington",10:18pm,2017-03-04
"Nightcrawlers, Vol 3",The Sendoff,Nightcrawlers,Dave Sikula,10:23pm,2017-03-04
Jazz,My Baby Just Cares For Me,Nina Simone,"Gus Kahn, Walter Donaldson",10:31pm,2017-03-04
"Oscar, With Love",Wheatland,Robi Botos,Oscar Peterson,10:34pm,2017-03-04
Miles Davis: ' Round About Midni,Bye Bye Blackbird,Miles Davis,,10:39pm,2017-03-04
Personal Touch,Swinging Shepherd Blues,Oscar Peterson,Clark Terry,10:47pm,2017-03-04
Words,Cool Embrace,Amanda Tosoff,"Melissa Mansfield, Amanda Tosoff",10:50pm,2017-03-04
Steve Kaldestad: New York Afternoon,Beatriz,Steve Kaldestad,"Edu Lobo, Chico Buarque De Hollanda",10:55pm,2017-03-04
You're The One That I Want (Single),You're The One That I Want,Fang Lo,"Louis St. Louis, John Farrar, Barry Gibb, Scott Simon",11:00pm,2017-03-04
The Sea (Single),The Sea,Ary,Ary,11:03pm,2017-03-04
Jet Plane And Oxbow,Prime,Shearwater,"Jesca Hoop, Lucas Oswald, Abram Shook, Jonathan Meiburg, Danny Reisch",11:06pm,2017-03-04
Like What Ep,Too Long,Tennyson,Luke Tennyson,11:10pm,2017-03-04
Awake,Arrow,Folly And The Hunter,"Christopher Fox, Nick Vallee, Phil Creamer, Laurie Torres",11:13pm,2017-03-04
Surrender (Single),Surrender,Briana Marela,Briana Marela,11:17pm,2017-03-04
You & Everyone,Light Of A Low Sun,Boreal Sons,"Evan Acheson, Zach Schultz, Reagan Mclean",11:20pm,2017-03-04
In Circles (Single),In Circles,Patrick Watson,Patrick Watson,11:25pm,2017-03-04
Colours,The Fan,"Devon Sproule, Mike O'neill","Mike O'neill, Devon Sproule",11:27pm,2017-03-04
Something Got Lost Between Here And The Orbit,Somersault,Royal Canoe,"Derek Allard, Brendan Berg, David Driedger, Matthew Schellenberg, Matthew Peters, Michael Jordan",11:33pm,2017-03-04
Say Yeah (Single),Say Yeah,Kishi Bashi,Kishi Bashi,11:36pm,2017-03-04
A Moon Shaped Pool,Burn The Witch,Radiohead,Thom Yorke,11:41pm,2017-03-04
Everything Moves (Single),Everything Moves,Fond Of Tigers,Stephen Lyons,11:45pm,2017-03-04
Deep In The Iris,Sore Eyes,Braids,"Raphaelle Preston Standell, Taylor Smith, Austin Tufts",11:53pm,2017-03-04
Person A,Lullaby,Edward Sharpe And The Magnetic Zeros,"Alex Ebert, Mitchell Yoshida",11:57pm,2017-03-04
Recreational Love,Please Take Me Home,The Bird And The Bee,"Inara George, Greg Kurstin",10:00pm,2017-03-06
Punk Shadows,Punk Shadows,Blood And Glass,Lisa Moore Iwanycki,10:03pm,2017-03-06
Clinging To A Scheme,Heaven's On Fire,"Radio Dept, Johan Duncanson, Martin Carlberg","Johan Duncanson, Daniel Tjader, Martin Carlberg",10:07pm,2017-03-06
Sun Leads Me On,Turn Your Love,Half Moon Run,"Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips",10:10pm,2017-03-06
Doing The Right Thing (Single),Doing The Right Thing,Daughter,"Elena Tonra, Remi Aguilella, Igor Haefeli",10:14pm,2017-03-06
Monster,In The Sun,Andrew Judah,Andrew Judah,10:19pm,2017-03-06
Ritual Spirit E.P.,Ritual Spirit,Massive Attack,"Robert Del Naja,Azekel, Euan Dickinson",10:24pm,2017-03-06
So There,Yes Man,"Ben Folds, Ymusic",Ben Folds,10:28pm,2017-03-06
Cold Creeps (Single),Cold Creeps,Owl John,Owl John,10:32pm,2017-03-06
A Heart Beats Through It (Single),A Heart Beats Through It,Our Founders,Michael Olsen,10:36pm,2017-03-06
I Go Missing In My Sleep,Heavy Steps,Wilsen,Wilsen,10:41pm,2017-03-06
Armour,Armour,Rae Spoon,Rae Spoon,10:44pm,2017-03-06
Music To Draw To: Satellite,Nightfall Pale Blue,"Kid Koala, Emiliana Torrini",Kid Koala,10:48pm,2017-03-06
Petals (Single),Petals,Bibio,Bibio,10:51pm,2017-03-06
Album Title Goes Here,Telemiscommunications,"Deadmau5, Imogen Heap","Imogen Heap,Deadmau5",10:53pm,2017-03-06
Florence (Single),Florence,"Loyle Carner, Kwes","Loyle Carner,Kwes",10:58pm,2017-03-06
Monogrenade: Composite,J'attends,Monogrenade,Michel  Jean Pigeon,11:01pm,2017-03-06
A History Of Reasons,A History Of Reasons,Cairo,"Matt Sullivan, Nate Daniels, Nygel Asselin, Jr  Dante Berardi, Caitlin Grieve",11:05pm,2017-03-06
Sophomore,In My Solitude,Del Bel,Tyler Belluz,11:09pm,2017-03-06
Berlin,Vampires,Ry X,Ry X,11:13pm,2017-03-06
Once Around The Town Square (Single),Once Around The Town Square,Photo Ops,Terry Price,11:16pm,2017-03-06
Vieux Loup,Rapids,The Acorn,Rolf Klausener,11:20pm,2017-03-06
You Don't Know Me (Single),You Don't Know Me,"The Polyphonic Spree, Set In Sand",Tim Delaughter,11:25pm,2017-03-06
Shaver (Single),Shaver,Porches,Porches,11:29pm,2017-03-06
Quiet Energies,Light As A Feather,Evening Hymns,Jonas Bonnetta,11:34pm,2017-03-06
Javelin,We Got Married,Jordan Klassen,Jordan Klassen,11:39pm,2017-03-06
"A Person Disguised As People: Forest City Series, Vol. 1",Questionable Eyelevel Stars,Dreamsploitation,Chuck Blazevic,11:44pm,2017-03-06
Tell Tale,Ensemble,"Film In Music, Jessie Zubot, Kevin Elaschuk, Peggy Lee, Chris Gestrin, Ron Samworth, Andre Lachance, Torsten Muller, Dylan Van Der Schyff",Peggy Lee,11:48pm,2017-03-06
